Analyte ID	Analyte Name	State Code	PWSID	System Name	System Type	Retail Population Served	Adjusted Total Population Served	Source Water Type	Water Facility ID	Water Facility Type	Sampling Point ID	Sampling Point Type	Source Type Code	Sample Type Code	Laboratory Assigned ID	Six Year ID	Sample ID	Sample Collection Date	Detection Limit Value	Detection Limit Unit	Detection Limit Code	Detect	Value	Unit	Presence Indicator Code	Residual Field Free Chlorine mg/L	Residual Field Total Chlorine mg/L
1094	ASBESTOS	CA	CA5110003	YUBA CITY GROUNDWATER-REGION 2-3	C	10200	10200	GW	589237	WL	658926		RW			29102612		2006-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5110003	YUBA CITY GROUNDWATER-REGION 2-3	C	10200	10200	GW	589239	TP	658928		FN			35818983		2006-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5115001	YUBA CITY GROUNDWATER REGION 1	C	3185	3185	GW	589259	WL	658948		RW			31472774		2006-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5310002	TRINITY CO. W.W. DIST #1	C	1500	1500	SW	589781	RS	630118		RW			28719796		2007-02-08 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5400957	WEST GOSHEN MUTUAL WATER CO	C	200	200	GW	590176	WL	630513		RW			28971686		2008-06-17 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410015	TULARE, CITY OF	C	59926	59926	GW	590716	WL	631053		RW			29869749		2007-09-13 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410015	TULARE, CITY OF	C	59926	59926	GW	590718	WL	631055		RW			28855282		2007-09-13 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410015	TULARE, CITY OF	C	59926	59926	GW	590751	WL	631088		RW			35474489		2006-01-26 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590787	WL	631124		RW			36588576		2006-06-26 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590789	WL	631126		RW			36588729		2006-08-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590802	WL	631139		RW			36307823		2007-01-09 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590810	WL	631147		RW			36880742		2006-09-18 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590817	WL	631154		RW			29097315		2006-05-09 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590821	WL	631158		RW			29381023		2006-01-24 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590829	WL	631166		RW			29097982		2006-02-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590833	WL	631170		RW			35471815		2006-06-13 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590847	WL	631184		RW			29380573		2006-04-19 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590849	WL	631186		RW			30111311		2006-09-18 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590922	WL	631259		RW			31147130		2006-08-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410016	CWS - VISALIA	C	127970	127970	GW	590923	WL	631260		RW			30111443		2006-08-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410022	CAMP NELSON WATER COMPANY	C	67	67	SW	590960	RS	631297		RW			36587057		2006-08-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410022	CAMP NELSON WATER COMPANY	C	67	67	SW	590960	RS	631297		RW			36587054		2006-02-27 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5410033	PRATT MUTUAL WATER CO	C	1500	1500	GW	590977	WL	631314		RW			28622009		2011-11-01 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500057	LONG BARN PROPERTY OWNERS	C	567	567	GW	591130	WL	631467		RW			35960621		2008-06-24 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500060	MI-WUK HEIGHTS MWC	C	352	352	GW	591137	WL	631474		RW			35964968		2011-06-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500071	RAWHIDE INVESTMENT COMPANY	C	250	250	GW	591142	WL	631479		RW			35465781		2011-06-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500077	SLIDE INN SNOWBOWL WATER CO	C	315	315	GW	591154	WL	631491		RW			35823027		2011-11-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500116	PEPPERMINT CREEK MHP	C	250	250	SW	591189	RS	631526		RW			28685584		2011-10-03 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5500152	CURTIS CREEK ELEMENTARY SCHOOL	NTNC	595	595	GW	591220	WL	631557		RW			36900466		2009-10-07 00:00:00.000	0.200000000	MFL	MDL	0					
